IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.201.245,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,6674 kB/s
47.237.0.31,2082,FALSE,SIN,Asia Pacific,Singapore,208 ms,6657 kB/s
47.236.10.182,2082,FALSE,SIN,Asia Pacific,Singapore,219 ms,6620 kB/s
47.236.87.246,8880,FALSE,SIN,Asia Pacific,Singapore,220 ms,6617 kB/s
47.236.75.113,2086,FALSE,SIN,Asia Pacific,Singapore,221 ms,6614 kB/s
47.237.10.1,8880,FALSE,SIN,Asia Pacific,Singapore,213 ms,6594 kB/s
47.236.80.110,2052,FALSE,SIN,Asia Pacific,Singapore,210 ms,6579 kB/s
47.236.202.91,8880,FALSE,SIN,Asia Pacific,Singapore,227 ms,6542 kB/s
8.219.87.30,2052,FALSE,SIN,Asia Pacific,Singapore,221 ms,6524 kB/s
47.237.10.1,2095,FALSE,SIN,Asia Pacific,Singapore,224 ms,6507 kB/s
8.219.201.245,2082,FALSE,SIN,Asia Pacific,Singapore,211 ms,6502 kB/s
47.236.10.100,2052,FALSE,SIN,Asia Pacific,Singapore,211 ms,6496 kB/s
47.237.10.1,2052,FALSE,SIN,Asia Pacific,Singapore,241 ms,6441 kB/s
47.237.94.140,2095,FALSE,SIN,Asia Pacific,Singapore,209 ms,6433 kB/s
47.237.95.146,8080,FALSE,SIN,Asia Pacific,Singapore,233 ms,6428 kB/s
47.76.159.146,2086,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,6400 kB/s
47.236.118.216,2082,FALSE,SIN,Asia Pacific,Singapore,227 ms,6395 kB/s
47.236.202.91,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,6354 kB/s
47.236.83.239,8080,FALSE,SIN,Asia Pacific,Singapore,213 ms,6352 kB/s
47.236.80.110,8880,FALSE,SIN,Asia Pacific,Singapore,222 ms,6340 kB/s
47.236.144.48,2095,FALSE,SIN,Asia Pacific,Singapore,225 ms,6331 kB/s
47.236.145.85,8080,FALSE,SIN,Asia Pacific,Singapore,217 ms,6323 kB/s
47.237.95.140,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,6298 kB/s
47.237.11.182,8880,FALSE,SIN,Asia Pacific,Singapore,213 ms,6293 kB/s
47.236.80.110,80,FALSE,SIN,Asia Pacific,Singapore,251 ms,6290 kB/s
47.237.10.1,80,FALSE,SIN,Asia Pacific,Singapore,235 ms,6290 kB/s
8.222.174.108,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,6256 kB/s
47.237.92.26,2086,FALSE,SIN,Asia Pacific,Singapore,206 ms,6225 kB/s
47.236.117.48,2052,FALSE,SIN,Asia Pacific,Singapore,214 ms,6215 kB/s
47.236.165.25,2095,FALSE,SIN,Asia Pacific,Singapore,230 ms,6203 kB/s
47.237.81.112,80,FALSE,SIN,Asia Pacific,Singapore,215 ms,6202 kB/s
47.237.11.182,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,6199 kB/s
47.237.14.220,2052,FALSE,SIN,Asia Pacific,Singapore,226 ms,6197 kB/s
47.236.5.223,8880,FALSE,SIN,Asia Pacific,Singapore,256 ms,6193 kB/s
47.236.172.95,2086,FALSE,SIN,Asia Pacific,Singapore,208 ms,6191 kB/s
47.236.145.85,2052,FALSE,SIN,Asia Pacific,Singapore,214 ms,6157 kB/s
47.236.87.246,8080,FALSE,SIN,Asia Pacific,Singapore,240 ms,6136 kB/s
47.237.81.112,2052,FALSE,SIN,Asia Pacific,Singapore,209 ms,6122 kB/s
47.236.205.188,2082,FALSE,SIN,Asia Pacific,Singapore,215 ms,6121 kB/s
47.236.17.193,8080,FALSE,SIN,Asia Pacific,Singapore,212 ms,6116 kB/s
47.236.80.110,8080,FALSE,SIN,Asia Pacific,Singapore,214 ms,6104 kB/s
