IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.113.232,8080,8080,false,SIN,Asia Pacific,Singapore,149,0.40
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,149,0.40
8.219.111.175,2096,2096,true,SIN,Asia Pacific,Singapore,149,0.40
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,54,0.40
8.219.229.190,2082,2082,false,SIN,Asia Pacific,Singapore,157,0.40
8.219.4.122,2052,2052,false,SIN,Asia Pacific,Singapore,76,0.40
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,153,0.39
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,138,0.39
8.219.4.122,2082,2082,false,SIN,Asia Pacific,Singapore,149,0.38
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,57,0.38
8.222.134.170,2087,2087,true,SIN,Asia Pacific,Singapore,149,0.38
8.219.51.211,2096,2096,true,SIN,Asia Pacific,Singapore,145,0.38
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,139,0.38
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,144,0.38
8.219.174.142,2095,2095,false,SIN,Asia Pacific,Singapore,138,0.38
8.219.6.150,2087,2087,true,SIN,Asia Pacific,Singapore,76,0.38
8.222.134.170,2083,2083,true,SIN,Asia Pacific,Singapore,51,0.37
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,147,0.37
8.219.174.142,2087,2087,true,SIN,Asia Pacific,Singapore,148,0.37
47.236.146.249,8080,8080,false,SIN,Asia Pacific,Singapore,58,0.37
8.219.107.135,2086,2086,false,SIN,Asia Pacific,Singapore,154,0.37
8.219.198.139,8443,8443,true,SIN,Asia Pacific,Singapore,142,0.37
8.219.174.142,2053,2053,true,SIN,Asia Pacific,Singapore,58,0.37
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,146,0.37
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,68,0.37
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,143,0.37
8.219.83.201,2052,2052,false,SIN,Asia Pacific,Singapore,58,0.36
47.245.105.224,2052,2052,false,SIN,Asia Pacific,Singapore,146,0.36
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,76,0.36
8.219.98.13,8880,8880,false,SIN,Asia Pacific,Singapore,149,0.36
47.236.118.216,80,80,false,SIN,Asia Pacific,Singapore,155,0.36
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,156,0.36
8.219.110.81,80,80,false,SIN,Asia Pacific,Singapore,145,0.36
8.219.83.71,2087,2087,true,SIN,Asia Pacific,Singapore,146,0.36
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,153,0.35
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,55,0.35
8.219.78.188,8080,8080,false,SIN,Asia Pacific,Singapore,144,0.35
